First Name,Last Name,Gender,Age,City,State,Region,Order ID,Quantity of Goods,Price per Item,Order Date,Total Price,Payment Method,Payment ID,Category of Good,Name of Good,Rating of Good,Quantity of Reviews,Carrier,Shipment Date,Shipment Status,% of Discount,Discount Reason,Effective Price,Delivery Speed,Customer Type,Return Status,Last Purchase Date,Promo Code Used,Shipping Cost,City and State
Kevin,Graham,Male,48,Roswell,Georgia,East,a4148786-0121-4ac9-a5dc-f846c769a8f5,2,175.78,11/01/2022,351.56,Card,8fbe2ad1-7c7e-4a68-9dd8-9a2fae530667,Beauty,Mascara,3.7815329665930735,379,FedEx,17/01/2024,Cancelled,20,Seasonal Sale,175.89,Standard,New,No,02/12/2024,No,1223.94,"Roswell, Georgia"
Jessica,Eaton,Female,29,Youngstown,Ohio,North,c8cc38bd-fcaa-41f0-b975-28e9f2014029,8,191.56,04/05/2022,1532.48,Card,932a76cd-ca7c-42f6-b61a-6b1db5330937,Electronics,Tablet,1.516063142954867,385,UPS,24/09/2024,Delivered,10,Coupon,954.12,Standard,New,Yes,05/11/2024,Yes,1491.08,"Youngstown, Ohio"
Maria,Horton,Non-binary,64,Jacksonville,Florida,South,51c43304-7e35-498b-ac3e-ca8318e55441,8,378.72,18/10/2022,3029.76,Online,821337b7-7eb0-4580-a247-0213757911b9,Clothing,Shirt,4.178292767916446,249,FedEx,04/04/2023,In Transit,10,Coupon,2568.63,Same Day,Returning,No,17/11/2024,No,166.58,"Jacksonville, Florida"
Amanda,Gonzalez,Female,56,Corpus Christi,Texas,West,b2806b32-b3ce-4d72-925c-58990ff3c351,3,489.48,02/11/2023,1468.44,Card,1a22c5c0-df38-4bd9-a912-064509e1b255,Electronics,Gaming Console,3.628097504081727,414,FedEx,29/08/2024,In Transit,20,Seasonal Sale,1167.41,Standard,Returning,Yes,11/08/2024,No,1223.1,"Corpus Christi, Texas"
Maria,Chavez,Female,50,Charlottesville,Virginia,South,f64915a1-688b-4de4-9c9f-c59fc5917828,9,151.7,10/09/2023,1365.3,Online,3bc64cc6-d1f0-400d-b2aa-b7355db90e74,Electronics,Smartphone,4.569364941365301,75,UPS,25/01/2024,Cancelled,8,Discount Card,1060.16,Express,VIP,No,25/01/2024,No,1099.11,"Charlottesville, Virginia"
Rachel,Joyce,Non-binary,60,Hampton,Virginia,West,cb309de8-6872-4d81-a937-eb8288267f63,9,41.31,10/01/2024,371.79,Online,8c85f6e8-b327-42e1-9162-872e8c832539,Toys,RC Car,2.061947118033172,436,UPS,20/05/2024,In Transit,20,Seasonal Sale,286.35,Express,New,No,13/07/2024,No,449.52,"Hampton, Virginia"
Kimberly,Barker,Female,29,Harrisburg,Pennsylvania,South,9fab21cf-07fa-419c-b68b-d234e467032e,1,352.79,22/03/2023,352.79,Online,71d51f79-8f00-4ab8-92bd-d8c93ef3a31e,Beauty,Perfume,4.48981981432217,214,UPS,08/02/2024,In Transit,50,Employee Discount,290.91,Same Day,VIP,No,12/12/2024,Yes,1081.27,"Harrisburg, Pennsylvania"
Walter,Perry,Male,21,San Francisco,California,North,cb9cd10f-705c-4735-bab1-8ba481a705de,3,133.25,22/05/2024,399.75,Online,8f6a5da5-0f8a-4d77-bce6-ec970128a886,Books,Comic,3.513902321965803,71,UPS,19/11/2024,Returned,20,Seasonal Sale,367.89,Same Day,Returning,Yes,16/06/2024,No,339.94,"San Francisco, California"
Matthew,Coleman,Non-binary,38,Pueblo,Colorado,South,f49d3666-91db-496f-86c0-199fac9ecf5a,8,159.55,24/12/2022,1276.4,Card,e6209b6c-54ca-40ad-8d24-dfa9892a7f19,Sports,Football,3.8476414942419286,341,FedEx,14/10/2023,In Transit,20,Seasonal Sale,1023.29,Express,VIP,Yes,10/07/2024,No,1488.97,"Pueblo, Colorado"
Dylan,Schmidt,Female,40,Scottsdale,Arizona,North,7f495f62-24da-4b4d-ab66-a1c30a8846fc,8,6.83,14/11/2023,54.64,Cash,88205b55-4a43-4018-964b-47e0fab8de98,Beauty,Soap,4.367231110476332,380,FedEx,26/02/2024,In Transit,20,Seasonal Sale,50.53,Standard,Returning,No,27/09/2024,No,1100.5,"Scottsdale, Arizona"
